Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,
ACLBSL,"1,056.00",2.11,"1,062.00","1,025.30","1,025.30","1,533",,,
ADBL,366.10,-0.11,369.50,363.10,369.50,"32,031",,,
ADBLD83,"1,115.00",1.99,"1,115.00","1,115.00","1,115.00",50,,,
AHL,684.00,0.59,684.00,673.20,679.00,"3,733",,,
AHPC,274.10,-1.01,279.00,272.60,279.00,"81,329",,,
AKJCL,212.00,0.24,214.50,210.20,211.50,"15,665",,,
AKPL,255.30,-0.66,262.10,254.50,262.10,"65,917",,,
ALBSL,"1,069.00",1.04,"1,091.00","1,058.00","1,075.00","48,375",,,
ALICL,763.00,1.09,765.00,750.00,765.00,"43,749",,,
ANLB,"4,800.00",0.27,"4,873.20","4,716.00","4,873.00",111,,,
API,289.70,-0.45,295.00,289.50,290.00,"111,418",,,
AVYAN,915.00,-1.08,929.70,908.00,908.00,"1,631",,,
BARUN,392.00,0.77,398.00,386.00,396.60,"23,404",,,
BBC,"4,260.00",0.64,"4,269.00","4,250.00","4,250.00",342,,,
BEDC,489.90,1.85,493.00,474.00,475.00,"10,779",,,
BFC,653.00,2.19,665.00,639.00,648.00,"48,376",,,
BGWT,935.00,-1.16,964.00,935.00,946.00,"3,744",,,
BHDC,636.00,2.32,636.00,615.00,621.00,"12,010",,,
BHL,337.20,9.98,337.20,312.70,312.70,"5,247",,,
BHPL,684.10,-0.41,714.00,682.00,682.00,"5,036",,,
BNHC,465.40,-1.81,473.80,465.00,470.50,"19,385",,,
BNL,"16,758.00",-1.42,"17,100.00","16,758.00","17,100.00",20,,,
BNT,"14,400.00",-0.58,"14,400.00","14,400.00","14,400.00",20,,,
BOKD86,"1,041.00",-0.1,"1,041.00","1,041.00","1,041.00",50,,,
BPCL,450.00,-1.1,457.90,450.00,455.00,"13,820",,,
C30MF,9.40,-1.47,9.41,9.40,9.40,400,,,
CBBL,961.20,-0.19,979.00,961.10,979.00,"6,354",,,
CBLD88,"1,112.80",2.55,"1,112.80","1,080.20","1,080.20",675,,,
CCBD88,"1,190.00",0.42,"1,190.00","1,190.00","1,190.00",50,,,
CFCL,689.00,4.55,699.00,658.20,669.90,"82,271",,,
CGH,925.00,-0.96,933.00,923.30,925.00,"17,242",,,
CHCL,589.80,-0.32,599.40,584.60,592.00,"37,928",,,
CHDC,"1,669.00",-0.06,"1,703.40","1,660.00","1,703.40","19,128",,,
CHL,357.40,1.53,358.90,350.00,351.00,"6,996",,,
CIT,"2,178.00",-0.55,"2,195.00","2,175.00","2,195.00","7,309",,,
CITY,877.00,1.98,877.00,850.00,876.00,"4,632",,,
CIZBD90,"1,112.90",0.01,"1,091.10","1,091.10","1,091.10",30,,,
CKHL,659.00,1.38,662.00,639.00,639.00,"6,417",,,
CLI,681.30,2.61,681.30,655.00,655.00,"60,673",,,
CMF1,10.81,3.94,10.81,10.45,10.60,"13,450",,,
CMF2,9.50,0,9.69,9.50,9.69,"5,200",,,
CORBL,967.00,-0.31,"1,009.00",950.60,950.60,"3,143",,,
CYCL,"1,544.00",0.92,"1,589.90","1,510.00","1,510.10","2,398",,,
CZBIL,232.00,0,235.60,230.10,232.00,"21,411",,,
DDBL,922.00,0.77,930.00,912.10,930.00,"6,450",,,
DHPL,261.00,3.98,265.00,255.00,256.00,"50,765",,,
DLBS,"1,401.00",2.01,"1,410.00","1,372.10","1,375.00","4,093",,,
DOLTI,624.00,-0.18,662.80,612.60,612.60,"49,027",,,
DORDI,466.00,3.51,474.00,442.40,450.00,"39,843",,,
EBL,600.00,-0.33,604.00,599.00,602.00,"19,443",,,
EBLD85,"1,127.00",1.99,"1,127.00","1,126.00","1,126.00",112,,,
EBLD86,"1,027.50",0.05,"1,027.50","1,027.50","1,027.50",25,,,
EDBL,679.00,0.3,720.00,661.00,688.00,"92,158",,,
EHPL,826.50,0.79,836.40,812.00,836.00,"6,286",,,
ENL,"1,140.00",-1.3,"1,177.00","1,136.00","1,177.00",683,,,
FMDBL,770.00,-0.38,785.00,759.00,759.00,"6,793",,,
FOWAD,"1,491.00",-0.4,"1,501.00","1,468.10","1,500.00","5,028",,,
GBBD85,"1,030.00",-0.01,"1,050.70","1,030.00","1,040.00",327,,,
GBBL,450.00,0.45,453.00,445.20,452.90,"15,659",,,
GBILD84/85,"1,130.00",-0.88,"1,130.00","1,130.00","1,130.00",20,,,
GBIME,256.80,1.1,261.10,253.20,255.00,"105,915",,,
GBLBS,780.00,-1.14,803.90,775.00,803.90,"5,491",,,
GCIL,498.50,0.28,501.00,495.00,500.00,"8,413",,,
GFCL,"1,020.00",1.49,"1,029.10",995.00,"1,005.00","79,323",,,
GHL,223.60,1.18,224.00,219.00,223.00,"75,085",,,
GIBF1,9.30,-3.53,9.45,9.28,9.45,"1,500",,,
GILB,"1,271.10",-0.85,"1,300.00","1,269.00","1,269.00","1,473",,,
GLBSL,"1,900.00",-2.29,"1,981.00","1,880.00","1,981.00","4,386",,,
GLH,251.30,0.12,257.00,250.00,250.00,"26,061",,,
GMFBS,"1,611.00",-0.8,"1,620.00","1,592.10","1,593.00",734,,,
GMFIL,648.90,1.55,657.80,639.90,650.00,"38,316",,,
GRDBL,795.00,3.79,809.00,763.30,766.00,"17,778",,,
GUFL,760.00,0.53,770.00,750.00,768.00,"20,975",,,
GVL,550.00,1.63,555.90,535.00,550.00,"25,917",,,
H8020,9.86,-1.4,10.03,9.84,9.84,"17,800",,,
HATHY,"1,329.00",-0.08,"1,337.20","1,310.00","1,330.00","10,086",,,
HBL,251.00,-0.4,256.00,250.00,256.00,"45,315",,,
HBLD83,"1,070.00",0.47,"1,070.00","1,070.00","1,070.00",25,,,
HBLD86,"1,147.50",2,"1,147.50","1,147.40","1,147.40",40,,,
HDHPC,213.00,-0.19,216.00,211.30,213.50,"93,688",,,
HDL,"1,367.00",0.74,"1,384.10","1,350.80","1,384.10","31,870",,,
HEI,686.00,-0.94,706.30,680.00,706.30,"17,795",,,
HEIP,484.00,10,484.00,416.00,448.60,"25,815",,,
HHL,460.00,2.34,462.00,444.10,444.10,"20,944",,,
HIDCL,273.00,-0.69,275.00,272.30,275.00,"67,161",,,
HIDCLP,182.40,0.27,183.80,180.50,181.50,"268,014",,,
HLBSL,968.00,-0.21,973.00,950.00,965.00,"6,988",,,
HLI,480.00,-0.41,491.00,476.00,491.00,"35,561",,,
HPPL,335.00,0.6,339.10,332.50,335.00,"26,830",,,
HRL,870.00,-0.1,902.00,869.10,870.00,"71,041",,,
HURJA,214.60,-0.23,217.80,214.30,215.10,"63,676",,,
ICFC,793.00,1.02,804.40,780.00,800.70,"80,631",,,
ICFCD83,"1,230.00",1.65,"1,230.00","1,230.00","1,230.00",60,,,
IGI,659.80,-0.15,670.00,650.00,670.00,"67,421",,,
IHL,537.90,-1.66,547.90,531.00,540.00,"9,294",,,
ILBS,"1,015.00",0.59,"1,019.90",990.00,990.00,"1,505",,,
ILI,500.00,1.19,503.00,494.00,494.10,"28,616",,,
JBBL,362.00,1.4,363.00,352.90,363.00,"34,298",,,
JBLB,"1,578.10",0.2,"1,595.00","1,547.00","1,547.00","2,723",,,
JFL,790.40,2.4,809.00,758.00,758.00,"98,919",,,
JOSHI,310.00,-0.96,317.00,308.00,308.00,"14,664",,,
JSLBB,"1,505.00",0.66,"1,524.00","1,483.00","1,524.00","1,389",,,
KBL,226.60,-1,232.00,226.00,226.10,"169,602",,,
KBLD86,"1,149.50",1.99,"1,149.50","1,142.00","1,142.00",35,,,
KBLD90,"1,100.00",-1.96,"1,100.00","1,100.00","1,100.00",25,,,
KBSH,"2,710.00",-8.23,"2,894.00","2,657.70","2,894.00","3,639",,,
KDBY,9.57,-1.75,9.57,9.39,9.56,"2,200",,,
KDL,"1,085.00",0.55,"1,100.00","1,071.10","1,100.00","3,644",,,
KEF,9.04,0.44,9.36,8.90,9.18,"3,750",,,
KKHC,296.00,1.34,299.90,286.00,295.00,"34,735",,,
KMCDB,"1,044.90",-1.42,"1,081.00","1,018.20","1,060.00","3,880",,,
KPCL,500.00,-1.57,514.00,500.00,500.20,"16,788",,,
KRBL,688.80,4.06,703.00,660.00,660.10,"54,372",,,
KSBBL,455.00,-0.22,459.80,451.30,459.00,"14,163",,,
KSBBLD87,"1,078.00",-2,"1,100.00","1,078.00","1,100.00",45,,,
KSY,9.20,0.22,9.20,9.11,9.11,"3,300",,,
LBBL,482.00,-0.21,490.60,476.00,477.00,"22,071",,,
LBBLD89,"1,235.50",0.04,"1,235.50","1,235.50","1,235.50",100,,,
LEC,232.10,6.8,239.00,221.60,221.60,"212,842",,,
LICN,"1,182.00",-1.5,"1,224.00","1,176.00","1,224.00","14,979",,,
LLBS,"1,084.80",1.57,"1,084.80","1,050.00","1,050.10",450,,,
LSL,243.10,-0.65,245.00,241.00,243.00,"42,923",,,
LUK,9.86,5.45,9.86,9.17,9.17,"1,500",,,
LVF2,9.38,2.85,9.38,9.20,9.30,"7,400",,,
MAKAR,596.20,-1.62,606.00,595.00,606.00,"19,349",,,
MANDU,900.00,-0.88,917.90,892.00,917.90,"5,963",,,
MATRI,"1,405.00",-1.12,"1,425.00","1,394.00","1,420.00",976,,,
MBJC,337.00,-1.17,345.00,336.30,341.10,"65,054",,,
MBL,251.70,0.48,254.00,249.00,251.00,"44,209",,,
MCHL,532.00,1.14,536.50,518.00,526.00,"10,565",,,
MDB,649.00,0.93,663.00,640.00,643.00,"72,097",,,
MEHL,411.90,2.72,414.00,393.20,393.20,"44,089",,,
MEL,299.00,1.01,301.90,293.00,301.90,"37,812",,,
MEN,695.00,-0.74,714.20,695.00,714.20,"25,951",,,
MERO,775.00,0,776.00,770.00,774.90,"2,665",,,
MFIL,762.50,0.32,774.50,755.00,760.10,"25,427",,,
MFLD85,"1,095.00",1.86,"1,095.00","1,083.70","1,083.70",135,,,
MHCL,435.10,0.72,440.00,424.00,424.00,"15,637",,,
MHL,740.00,0.82,749.00,725.00,730.00,"2,456",,,
MHNL,269.10,-0.22,269.10,262.90,264.40,"9,555",,,
MKCL,"1,535.00",-0.34,"1,560.00","1,530.00","1,560.00","3,089",,,
MKHC,390.00,2.9,391.50,375.00,386.50,"25,285",,,
MKHL,551.90,2.39,554.00,532.00,533.20,"10,155",,,
MKJC,485.00,0.04,494.40,475.40,494.40,"12,671",,,
MLBBL,"1,805.00",-2.43,"1,839.00","1,805.00","1,815.00","8,060",,,
MLBL,403.20,1.43,408.90,395.40,400.00,"21,090",,,
MLBLD89,"1,232.00",0.16,"1,232.00","1,232.00","1,232.00",30,,,
MLBS,"1,710.00",0.18,"1,775.00","1,686.00","1,730.00","3,102",,,
MLBSL,"2,045.00",0.28,"2,060.00","2,021.00","2,038.90",980,,,
MMF1,8.98,1.81,9.16,8.65,8.65,"17,710",,,
MMKJL,544.00,0.74,572.00,529.00,530.00,"14,864",,,
MNBBL,396.00,0.2,399.80,394.00,394.00,"18,858",,,
MPFL,755.00,0.67,771.00,744.00,765.00,"29,695",,,
MSHL,932.00,-2.45,954.00,925.10,954.00,"5,745",,,
MSLB,"1,598.00",-0.06,"1,614.00","1,569.00","1,569.00",754,,,
NABBC,741.70,10,741.70,680.00,685.90,"88,420",,,
NABIL,564.60,-0.42,567.00,562.80,565.00,"54,129",,,
NADEP,"1,015.00",0.5,"1,030.20","1,001.00","1,030.20","1,606",,,
NBF2,9.27,-1.7,9.59,9.27,9.59,855,,,
NBF3,9.18,3.15,9.18,8.90,9.00,"34,886",,,
NBL,283.10,-0.84,288.00,283.10,284.00,"42,981",,,
NBLD82,"1,116.19",1.99,"1,116.19","1,105.00","1,105.00",85,,,
NBLD85,"1,029.00",-0.96,"1,029.00","1,029.00","1,029.00",25,,,
NESDO,"2,270.00",0.89,"2,274.00","2,233.00","2,250.00",301,,,
NFS,"1,421.90",-8.26,"1,519.00","1,395.00","1,519.00","252,277",,,
NGPL,474.00,0.85,479.00,462.00,478.00,"158,323",,,
NHDL,605.00,0.17,616.00,593.30,616.00,"4,784",,,
NHPC,224.20,-1.19,228.00,224.10,225.00,"65,989",,,
NIBD2082,"1,127.00",1.35,"1,127.00","1,119.00","1,119.00",730,,,
NIBD84,"1,040.00",0,"1,040.00","1,040.00","1,040.00",25,,,
NIBLGF,9.00,2.27,9.00,8.80,8.80,"1,340",,,
NIBLSTF,8.96,0.11,9.12,8.95,8.95,"1,500",,,
NIBSF2,8.79,3.29,8.79,8.29,8.35,"3,600",,,
NICA,440.00,-0.9,447.00,439.00,445.00,"63,545",,,
NICAD8283,"1,188.20",1.99,"1,188.20","1,188.20","1,188.20",15,,,
NICAD85/86,"1,125.00",5.52,"1,125.00","1,119.00","1,119.00",50,,,
NICBF,9.60,4.58,9.60,9.36,9.36,"18,000",,,
NICD83/84,"1,063.00",0.09,"1,063.00","1,063.00","1,063.00",25,,,
NICFC,9.08,0,9.08,8.90,8.90,"3,575",,,
NICGF,10.90,1.21,10.90,10.60,10.70,"11,050",,,
NICGF2,8.99,1.01,9.15,8.81,8.81,"3,700",,,
NICL,"1,028.70",-0.32,"1,052.00","1,019.00","1,052.00","12,137",,,
NICLBSL,727.00,0.83,730.00,711.30,720.00,"1,902",,,
NICSF,10.10,0,10.27,9.34,10.27,"151,565",,,
NIFRA,274.90,0.18,276.90,273.00,273.00,"78,195",,,
NIL,940.00,0.32,950.00,938.00,941.00,"15,453",,,
NIMB,233.40,0.09,239.50,230.60,233.40,"67,276",,,
NIMBPO,172.00,-1.6,175.60,172.00,172.20,"25,451",,,
NLG,"1,330.00",-1.66,"1,379.40","1,330.00","1,379.40","47,376",,,
NLIC,829.00,-0.71,840.00,825.00,831.00,"16,535",,,
NLICL,620.00,0.16,630.00,617.10,617.10,"9,313",,,
NMB,259.50,0.58,262.00,258.00,262.00,"32,442",,,
NMB50,10.34,-1.9,10.48,10.34,10.48,"8,545",,,
NMBMF,712.00,-0.41,724.00,712.00,713.00,"1,510",,,
NMFBS,"1,442.90",1.11,"1,448.00","1,428.00","1,428.10",497,,,
NMLBBL,778.00,-0.26,795.60,766.10,795.60,"6,297",,,
NRIC,794.00,-0.13,805.00,791.00,795.00,"16,643",,,
NRM,447.00,-0.45,452.90,442.20,442.20,"16,592",,,
NRN,905.00,-0.21,907.00,893.00,907.00,"16,261",,,
NSIF2,10.70,3.08,10.70,10.22,10.22,"59,775",,,
NTC,989.00,-0.1,"1,001.00",977.10,977.10,"12,051",,,
NUBL,725.00,-0.68,733.90,715.40,733.90,"9,009",,,
NWCL,"1,000.00",-1.38,"1,010.00",998.00,"1,001.00","2,195",,,
NYADI,317.00,0,320.00,306.20,317.00,"11,415",,,
OHL,948.00,-0.73,964.00,935.90,964.00,"1,085",,,
PBD84,"1,086.00",-0.03,"1,108.00","1,086.00","1,100.00",80,,,
PBD85,"1,060.00",-1.85,"1,060.00","1,060.00","1,060.00",50,,,
PBD88,"1,120.00",1.27,"1,120.00","1,120.00","1,120.00",50,,,
PBLD84,"1,102.00",1.19,"1,102.00","1,101.00","1,101.00",50,,,
PBLD86,"1,131.00",0.35,"1,131.00","1,131.00","1,131.00",15,,,
PCBL,279.50,-0.32,281.00,278.50,280.00,"44,704",,,
PCBLP,110.00,-1.79,110.00,110.00,110.00,"7,942",,,
PFL,655.00,-0.29,668.60,648.80,668.60,"35,223",,,
PHCL,608.00,9.12,612.00,547.00,557.00,"422,588",,,
PMHPL,275.00,1.36,275.00,267.30,267.30,"12,325",,,
PMLI,572.80,-0.38,575.00,566.00,567.00,"3,758",,,
PPCL,264.50,-0.23,267.00,261.40,265.00,"12,038",,,
PPL,485.00,0.37,486.50,478.00,484.00,"6,592",,,
PRIN,"1,008.00",0.6,"1,010.00",995.10,"1,000.00","16,908",,,
PROFL,714.00,3.48,717.00,690.00,690.00,"83,454",,,
PRSF,9.87,1.02,10.05,9.81,9.96,"44,600",,,
PRVU,242.20,-1.54,245.00,241.20,245.00,"118,819",,,
PSF,10.20,0.99,10.45,9.90,9.90,"429,369",,,
RADHI,402.00,-0.99,414.00,397.90,412.00,"32,323",,,
RAWA,788.10,2.48,803.00,766.00,782.00,"35,685",,,
RBCL,"17,000.00",-0.7,"17,250.00","16,960.00","17,190.00",216,,,
RBCLPO,"12,300.00",0,"12,301.00","12,300.00","12,301.00",20,,,
RFPL,734.00,7.62,747.00,620.10,668.40,"45,634",,,
RHGCL,442.00,7.8,443.00,411.00,415.00,"78,600",,,
RHPL,403.00,-1.71,418.00,402.10,417.00,"100,792",,,
RIDI,241.70,-0.21,245.00,240.10,244.90,"36,214",,,
RLFL,670.00,2.62,674.00,650.00,652.90,"119,380",,,
RMF1,9.44,1.61,9.44,8.96,9.11,"15,150",,,
RMF2,9.57,-0.42,9.70,9.57,9.70,"9,400",,,
RNLI,517.00,0.6,523.90,512.20,523.90,"45,572",,,
RSDC,738.00,0.41,745.00,730.20,745.00,"5,945",,,
RURU,757.00,-1.53,784.00,753.50,753.50,"6,420",,,
SADBL,423.00,0.02,430.00,418.10,420.00,"20,005",,,
SAEF,11.04,-1.78,11.28,11.02,11.02,"19,800",,,
SAGF,10.20,5.7,10.20,9.46,9.46,"866,013",,,
SAHAS,537.00,2.29,540.00,518.00,521.00,"217,640",,,
SALICO,773.70,-0.74,789.50,748.00,789.50,"12,277",,,
SAMAJ,"3,805.00",-6.21,"3,975.90","3,783.00","3,975.90","3,671",,,
SAND2085,"1,090.00",1.4,"1,090.00","1,090.00","1,090.00",25,,,
SANIMA,328.00,1.14,329.00,324.10,328.90,"144,534",,,
SAPDBL,648.00,3.18,663.00,617.20,617.20,"102,789",,,
SARBTM,768.30,-0.99,780.00,767.00,776.00,"36,138",,,
SBCF,9.41,1.95,9.51,9.23,9.23,"60,000",,,
SBI,477.00,-0.42,508.00,470.00,470.00,"105,028",,,
SBID89,"1,050.00",0,"1,050.00","1,050.00","1,050.00","150,000",,,
SBL,336.00,0,340.00,334.00,340.00,"23,628",,,
SCB,741.00,0.68,741.30,734.00,736.00,"42,928",,,
SDBD87,"1,055.70",2.93,"1,055.70","1,035.00","1,035.00",85,,,
SEF,9.79,3.49,9.84,9.60,9.64,"90,000",,,
SFCL,848.90,8.79,858.00,780.00,780.00,"286,899",,,
SFEF,9.21,0.22,9.29,9.05,9.05,"2,100",,,
SFMF,9.84,0.41,9.84,9.65,9.65,500,,,
SGHC,418.90,1.11,419.20,411.00,411.00,"7,100",,,
SGIC,756.00,-0.66,800.00,749.00,760.00,"260,382",,,
SHEL,246.00,-0.32,250.00,243.00,246.00,"113,807",,,
SHINE,485.00,0,490.00,477.00,478.00,"27,637",,,
SHINEP,262.00,0,262.00,262.00,262.00,"125,000",,,
SHIVM,597.70,-0.4,606.00,595.00,605.00,"44,572",,,
SHL,568.00,-1.13,575.00,564.00,575.00,"77,280",,,
SHLB,"1,937.00",0.89,"1,945.00","1,902.10","1,905.50","2,992",,,
SHPC,546.00,-0.91,555.00,542.00,547.10,"57,818",,,
SICL,858.00,-1.4,875.00,854.50,870.00,"6,093",,,
SIFC,655.70,0.89,663.00,645.60,660.00,"38,564",,,
SIGS2,10.19,1.9,10.19,10.19,10.19,200,,,
SIGS3,9.56,0.1,9.80,9.56,9.70,"99,900",,,
SIKLES,702.00,-0.99,705.00,698.00,698.00,"4,160",,,
SINDU,729.00,4.14,765.00,694.10,698.20,"28,248",,,
SJCL,358.90,-1.16,369.00,356.00,369.00,"39,753",,,
SJLIC,489.90,-0.45,501.90,484.20,501.90,"23,238",,,
SKBBL,933.00,-0.38,949.00,931.00,931.00,"3,169",,,
SLBBL,976.90,0.71,989.00,972.20,979.00,"9,631",,,
SLBSL,"1,366.00",-0.81,"1,385.00","1,366.00","1,383.00",514,,,
SLCF,9.36,0.54,9.49,9.22,9.22,"14,500",,,
SMATA,890.00,-0.56,912.90,890.00,895.00,"3,603",,,
SMB,"1,843.00",0.1,"1,848.00","1,770.00","1,805.00",778,,,
SMFBS,"1,549.00",0.34,"1,549.00","1,513.00","1,513.00",283,,,
SMH,"1,203.80",5.53,"1,214.00","1,122.00","1,139.00","9,302",,,
SMHL,675.00,-3.57,710.00,663.00,698.00,"16,665",,,
SMJC,593.50,-0.45,632.00,590.00,595.00,"45,981",,,
SMPDA,925.00,-0.43,942.00,921.10,929.00,"1,861",,,
SNLI,609.00,0.02,620.00,603.10,620.00,"15,978",,,
SONA,478.50,0.1,480.00,469.00,470.50,"30,617",,,
SPC,498.00,1.63,515.00,480.50,480.50,"61,045",,,
SPDL,334.00,5.03,335.00,317.00,324.30,"302,231",,,
SPHL,673.80,1.02,688.50,661.00,665.00,"3,085",,,
SPIL,870.00,-2.25,885.00,866.00,872.20,"12,502",,,
SPL,860.00,1.3,861.00,842.90,859.00,"4,615",,,
SRBLD83,"1,090.00",1.68,"1,093.00","1,090.00","1,093.00",75,,,
SRLI,451.00,-1.1,465.10,450.00,465.10,"27,401",,,
SSHL,222.80,0.81,223.20,221.00,222.90,"50,024",,,
STC,"5,867.00",0.26,"5,969.00","5,850.10","5,969.00",291,,,
SWBBL,903.90,-1,913.00,900.00,913.00,"10,946",,,
SWMF,817.30,-0.38,833.00,805.00,805.00,"2,045",,,
TAMOR,525.00,3.96,525.00,498.00,498.00,"29,366",,,
TPC,499.00,3.98,502.00,472.00,480.00,"43,961",,,
TRH,"1,138.90",-1.9,"1,169.00","1,120.00","1,161.00","4,685",,,
TSHL,868.00,-0.8,909.00,865.00,892.00,"2,165",,,
TVCL,490.00,3.7,504.00,471.00,474.90,"54,359",,,
UAIL,687.10,-2.09,701.80,685.00,701.80,"10,274",,,
UHEWA,527.00,3.76,544.20,500.00,500.00,"19,296",,,
ULBSL,"3,105.00",0.32,"3,134.00","2,975.00","3,034.00","1,525",,,
ULHC,427.90,1.4,437.00,415.00,429.90,"26,495",,,
UMHL,357.00,-4.03,394.00,350.10,364.60,"330,776",,,
UMRH,492.90,0.28,501.30,485.00,501.30,"22,424",,,
UNHPL,278.60,0.22,282.50,275.30,280.00,"13,105",,,
UNL,"48,000.00",0,"48,950.00","47,971.00","48,950.00",170,,,
UNLB,"2,664.00",1.95,"2,670.00","2,600.00","2,613.00","5,620",,,
UPCL,270.90,-1.49,278.00,270.00,271.00,"46,824",,,
UPPER,215.90,-1.42,219.00,214.30,219.00,"131,888",,,
USHEC,571.00,-0.52,578.90,560.00,575.00,"12,817",,,
USHL,778.00,-2.02,792.90,763.00,778.30,"4,155",,,
USLB,"1,469.90",0.68,"1,489.00","1,441.20","1,489.00",610,,,
VLBS,883.00,-1.53,883.00,879.10,880.00,251,,,
VLUCL,608.40,-0.43,619.00,607.10,619.00,"7,918",,,
WNLB,"2,525.00",-0.63,"2,570.00","2,501.20","2,541.00","2,786",,,
